fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time
1399,156,Marcos Rosales,3658.0,3742.0,3742.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
1398,156,Herb Dean,509.0,1609.0,509.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,2,0:22
1397,156,Marcos Rosales,803.0,2669.0,2669.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1396,155,Herb Dean,2349.0,1805.0,2349.0,3,F,Light Heavyweight,M,KO/TKO,Elbows to Head From Crucifix,1,1:52
1395,155,John McCarthy,1569.0,1409.0,1409.0,3,F,Middleweight,M,Decision,Split,3,5:00
1394,155,Herb Dean,2493.0,3102.0,3102.0,3,F,Welterweight,M,TKO - Doctor's Stoppage,Eye Injury,3,2:21
1393,155,Jason Herzog,2722.0,2795.0,2795.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,1,1:04
1392,155,John McCarthy,2257.0,226.0,226.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1391,155,Jason Herzog,2371.0,1041.0,1041.0,3,F,Welterweight,M,KO/TKO,Punches to Head From Back Control,2,4:29
1390,155,Herb Dean,2443.0,1188.0,1188.0,3,F,Light Heavyweight,M,Submission,Rear Naked Choke,1,2:29
1389,155,John McCarthy,557.0,1822.0,557.0,3,F,Middleweight,M,Submission,Triangle Choke From Bottom Guard,3,3:10
1388,155,Herb Dean,3103.0,1401.0,1401.0,3,F,Lightweight,M,Submission,Triangle Armbar From Bottom Guard,1,0:41
1387,155,Jason Herzog,2217.0,545.0,2217.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
1386,154,Josh Rosenthal,2044.0,3524.0,2044.0,5,T,Heavyweight,M,Submission,Arm Triangle From Side Control,2,2:19
1385,154,Herb Dean,2083.0,4073.0,2083.0,3,F,Middleweight,M,Submission,Triangle Choke From Bottom Guard,3,4:40
1384,154,Steve Mazzagatti,1946.0,3661.0,1946.0,3,F,Welterweight,M,Submission,Armbar From Crucifix,2,2:02
1383,154,Mario Yamasaki,596.0,3725.0,3725.0,3,F,Light Heavyweight,M,KO/TKO,Punches to Head From Back Control,2,3:08
1382,154,Josh Rosenthal,595.0,1276.0,595.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1381,154,Herb Dean,793.0,348.0,793.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:07
1380,154,Steve Mazzagatti,1227.0,961.0,961.0,3,F,Light Heavyweight,M,Submission,Armbar From Side Control,2,3:05
1379,154,Mario Yamasaki,2712.0,1075.0,2712.0,3,F,Middleweight,M,Decision,Split,3,5:00
1378,154,Herb Dean,2637.0,3690.0,2637.0,3,F,Middleweight,M,KO/TKO,Slam to   On Ground,3,2:35
1377,154,Steve Mazzagatti,1223.0,1006.0,1006.0,3,F,Welterweight,M,Decision,Split,3,5:00
1376,154,Mario Yamasaki,1926.0,269.0,1926.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
1375,153,Steve Mazzagatti,1773.0,1787.0,1773.0,3,T,Middleweight,M,Submission,Rear Naked Choke,2,3:41
1374,153,Herb Dean,2404.0,2660.0,2660.0,3,F,Light Heavyweight,M,Decision,Majority,3,5:00
1373,153,Josh Rosenthal,2083.0,665.0,2083.0,3,F,Middleweight,M,KO/TKO,Punches to Head In Clinch,2,4:17
1372,153,Kim Winslow,2981.0,649.0,649.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1371,153,Steve Mazzagatti,82.0,3913.0,3913.0,3,F,Middleweight,M,KO/TKO,Punches to Head From Back Control,2,4:25
1370,153,Josh Rosenthal,2695.0,2523.0,2695.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1369,153,Herb Dean,438.0,3893.0,438.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
1368,153,Kim Winslow,3642.0,1454.0,1454.0,3,F,Middleweight,M,KO/TKO,Punches to Head On Ground,2,3:12
1367,153,Josh Rosenthal,3580.0,2655.0,3580.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
1366,153,Kim Winslow,1755.0,3650.0,3650.0,3,F,Heavyweight,M,KO/TKO,Punches to Head From Mount,1,4:32
1365,152,Herb Dean,2026.0,2943.0,2943.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,4:55
1364,152,Yves Lavigne,2990.0,3841.0,2990.0,3,F,Heavyweight,M,Submission,Rear Naked Choke,3,4:30
1363,152,Herb Dean,410.0,2293.0,2293.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1362,152,Yves Lavigne,937.0,36.0,937.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
1361,152,Kevin Dornan,3417.0,1940.0,3417.0,3,F,Welterweight,M,KO/TKO,Punches to Head From Half Guard,3,4:53
1360,152,Herb Dean,2722.0,3145.0,3145.0,3,F,Lightweight,M,Decision,Split,3,5:00
1359,152,Yves Lavigne,3298.0,116.0,116.0,3,F,Lightweight,M,Submission,"Guillotine Choke From Mount
      Technical Submission",1,1:45
1358,152,Tony Williamson,1992.0,1674.0,1674.0,3,F,Middleweight,M,KO/TKO,Elbows to Head From Back Control,2,4:07
1357,152,Kevin Dornan,134.0,615.0,134.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1356,152,Tony Williamson,2909.0,1299.0,1299.0,3,F,Welterweight,M,Submission,Guillotine Choke After Drop to Guard,2,1:48
1355,152,Kevin Dornan,1143.0,2054.0,1143.0,3,F,Welterweight,M,Submission,"Triangle Choke From Bottom Guard
      Technical Submission",3,4:44
